event,node,start,end,latitude,longitude,accuracy
form start,,1769779111948,,,,
location tracking enabled,,1769779111949,,,,
location permissions granted,,1769779111950,,,,
location providers enabled,,1769779111951,,,,
group questions,/akmg7nPy964nXVvmRPkFvw/details,1769779111969,1769779119948,-24.8949632,33.7492089,58.45899963378906
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[2],1769779972741,1769780013472,-24.9811406,33.6605366,20.090999603271484
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[3],1769780061756,1769780664028,-25.0049764,33.6234971,23.035999298095703
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[4],1769780664029,1769780936836,-24.9363104,33.5589166,13.097000122070312
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[5],1769780936837,1769781210789,-24.8222353,33.4859829,29.273000717163086
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[6],1769781210801,1769781412446,-24.7260964,33.3932172,17.743000030517578
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[7],1769781412448,1769781579891,-24.703821,33.3596291,12.737000465393066
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[8],1769781612950,1769782123250,-24.6496039,33.27919,20.760000228881836
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[9],1769782123255,1769782465688,-24.5902975,33.0640402,9.166999816894531
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[10],1769782465695,1769782901789,-24.5902975,33.0640402,9.166999816894531
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[11],1769782901790,1769783439810,-24.5080561,32.9921228,14.348999977111816
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[12],1769783439814,1769783595195,-24.4679153,33.0272951,10.081000328063965
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[13],1769783595196,1769783701314,-24.5112991,33.0786843,8.42300033569336
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[14],1769783701315,1769783902922,-24.5139273,33.1112749,392.6260070800781
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[15],1769783902922,1769784104172,-24.5441134,33.14424,4.755000114440918
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[16],1769784104175,1769784323855,-24.5938941,33.2215358,5.769000053405762
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[17],1769784323861,1769784598696,-24.6424891,33.294828,10.331999778747559
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[18],1769784598700,1769784768210,-24.6890539,33.3982943,7.97599983215332
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[19],1769784768212,1769785030479,-24.7034681,33.464832,9.61299991607666
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[20],1769785030479,1769791152462,-24.7593462,33.5603134,32.31999969482422
form save,,1769791163098,,-24.8947148,33.7493412,30.466999053955078
jump,,1769791165179,1769791168876,-24.8947148,33.7493412,30.466999053955078
end screen,,1769791168897,1769791176812,-24.8947148,33.7493412,30.466999053955078
constraint error,,1769791176852,,-24.8946643,33.7491749,23.757999420166016
form save,,1769791187086,,-24.8946643,33.7491749,23.757999420166016
jump,,1769791188656,1769791190792,-24.8946643,33.7491749,23.757999420166016
end screen,,1769791190846,1769791192759,-24.8946968,33.7492538,33.53200149536133
constraint error,,1769791192793,,-24.8946968,33.7492538,33.53200149536133
add repeat,/akmg7nPy964nXVvmRPkFvw/observations[21],1769791198578,1769791213753,-24.8946968,33.7492538,33.53200149536133
jump,,1769791227891,1769791237606,-24.8947192,33.7493133,35.808998107910156
end screen,,1769791237625,1769791241147,,,
constraint error,,1769791241184,,,,
jump,,1769791253711,1769791255161,-24.8947315,33.7493416,36.17100143432617
end screen,,1769791255177,1769791256194,-24.8947315,33.7493416,36.17100143432617
constraint error,,1769791256230,,-24.8947315,33.7493416,36.17100143432617
jump,,1769791261559,1769791262623,-24.8947315,33.7493416,36.17100143432617
end screen,,1769791262638,1769791263804,-24.8947315,33.7493416,36.17100143432617
constraint error,,1769791263843,,-24.8947315,33.7493416,36.17100143432617
jump,,1769791293684,1769791295015,-24.8946746,33.7492151,28.36199951171875
end screen,,1769791295030,1769791296050,-24.8946746,33.7492151,28.36199951171875
form save,,1769791296130,,-24.8946957,33.7491894,26.823999404907227
form exit,,1769791296130,,-24.8946957,33.7491894,26.823999404907227
form finalize,,1769791296130,,-24.8946957,33.7491894,26.823999404907227
